index,cwid,NID,Topic,Vehicle,F1,F2,F3,CosSimBert_T_V,CosSimBert_T_F1,CosSimBert_T_F2,CosSimBert_T_F3,CosSimBert_V_F1,CosSimBert_V_F2,CosSimBert_V_F3,CosSimBert_F1_F2,CosSimBert_F1_F3,CosSimBert_F2_F3,EucDistBert_T_V,EucDistBert_T_F1,EucDistBert_T_F2,EucDistBert_T_F3,EucDistBert_V_F1,EucDistBert_V_F2,EucDistBert_V_F3,EucDistBert_F1_F2,EucDistBert_F1_F3,EucDistBert_F2_F3
12,4287323,26,真珠,水滴,美しい,丸い,透き通っている,9.875226020812988,12.48685073852539,9.28049373626709,14.904139518737793,13.240927696228027,11.608192443847656,13.915242195129395,11.09817886352539,13.88790225982666,15.11068344116211,9.875226020812988,12.48685073852539,9.28049373626709,14.904139518737793,13.240927696228027,11.608192443847656,13.915242195129395,11.09817886352539,13.88790225982666,15.11068344116211
13,4287323,63,時間,洪水,止められない,流れる,逆らえない,10.010054588317871,14.054847717285156,10.034570693969727,13.77267837524414,12.496159553527832,8.422660827636719,12.470831871032715,12.682328224182129,11.764667510986328,12.700509071350098,10.010054588317871,14.054847717285156,10.034570693969727,13.77267837524414,12.496159553527832,8.422660827636719,12.470831871032715,12.682328224182129,11.764667510986328,12.700509071350098
25,4287323,86,学校,工場,人がたくさんいる,画一的だ,生産する,6.927509784698486,17.432310104370117,12.54847240447998,11.04771614074707,17.470016479492188,13.04872989654541,10.701390266418457,14.832829475402832,16.5161075592041,12.112258911132812,6.927509784698486,17.432310104370117,12.54847240447998,11.04771614074707,17.470016479492188,13.04872989654541,10.701390266418457,14.832829475402832,16.5161075592041,12.112258911132812
26,4287323,80,煙草,時限爆弾,寿命を縮める,危険だ,燃える,11.865949630737305,13.163900375366211,10.417119026184082,8.354392051696777,12.190483093261719,12.990099906921387,12.521012306213379,13.72923755645752,13.812177658081055,11.070450782775879,11.865949630737305,13.163900375366211,10.417119026184082,8.354392051696777,12.190483093261719,12.990099906921387,12.521012306213379,13.72923755645752,13.812177658081055,11.070450782775879
27,4287323,39,研究,登山,険しい道のり,達成感がある,苦しい,9.417645454406738,14.179991722106934,13.092620849609375,14.367789268493652,13.0738525390625,13.416915893554688,15.106904029846191,12.988675117492676,16.190887451171875,15.521580696105957,9.417645454406738,14.179991722106934,13.092620849609375,14.367789268493652,13.0738525390625,13.416915893554688,15.106904029846191,12.988675117492676,16.190887451171875,15.521580696105957
28,4287323,12,衝撃,電気,一瞬の出来事だ,突然来る,ビリビリする,8.827130317687988,12.939188957214355,10.817790031433105,14.287147521972656,13.10261344909668,11.33602523803711,13.758604049682617,10.907161712646484,13.196715354919434,11.984990119934082,8.827130317687988,12.939188957214355,10.817790031433105,14.287147521972656,13.10261344909668,11.33602523803711,13.758604049682617,10.907161712646484,13.196715354919434,11.984990119934082
30,4287323,88,批判,メス,人を傷つける,鋭い,痛いところをつく,10.392945289611816,13.400343894958496,13.609048843383789,13.841882705688477,13.610320091247559,13.913805961608887,14.620938301086426,14.863020896911621,11.655198097229004,14.402440071105957,10.392945289611816,13.400343894958496,13.609048843383789,13.841882705688477,13.610320091247559,13.913805961608887,14.620938301086426,14.863020896911621,11.655198097229004,14.402440071105957
33,4287323,14,暴動,嵐,激しい,人を巻き込む,突然起こる,8.50700569152832,10.549999237060547,12.308897018432617,9.946824073791504,9.85034465789795,13.117043495178223,9.561074256896973,14.072674751281738,10.80517578125,11.853615760803223,8.50700569152832,10.549999237060547,12.308897018432617,9.946824073791504,9.85034465789795,13.117043495178223,9.561074256896973,14.072674751281738,10.80517578125,11.853615760803223
37,4287323,38,蝶,踊り子,美しい,舞う,華やかだ,10.047037124633789,10.941149711608887,9.685324668884277,11.076780319213867,13.340741157531738,10.625051498413086,11.693384170532227,11.451912879943848,12.084573745727539,10.592227935791016,10.047037124633789,10.941149711608887,9.685324668884277,11.076780319213867,13.340741157531738,10.625051498413086,11.693384170532227,11.451912879943848,12.084573745727539,10.592227935791016
41,4287323,81,夕日,銅貨,丸い,輝いている,赤い,12.625701904296875,11.921070098876953,14.608786582946777,11.198456764221191,11.960226058959961,14.937016487121582,12.315862655639648,13.598610877990723,8.247584342956543,14.013778686523438,12.625701904296875,11.921070098876953,14.608786582946777,11.198456764221191,11.960226058959961,14.937016487121582,12.315862655639648,13.598610877990723,8.247584342956543,14.013778686523438
44,4287323,4,つらら,水晶細工,美しい,透明だ,繊細だ,12.839545249938965,14.017797470092773,12.742538452148438,13.392284393310547,13.98889446258545,12.517930030822754,12.034858703613281,10.561447143554688,9.929661750793457,8.137980461120605,12.839545249938965,14.017797470092773,12.742538452148438,13.392284393310547,13.98889446258545,12.517930030822754,12.034858703613281,10.561447143554688,9.929661750793457,8.137980461120605
48,4287323,74,子猫,王女,かわいい,大切にされている,わがままだ,11.136204719543457,11.781142234802246,14.41604995727539,11.312511444091797,11.299147605895996,15.051259994506836,10.554094314575195,13.984500885009766,9.18608570098877,13.969060897827148,11.136204719543457,11.781142234802246,14.41604995727539,11.312511444091797,11.299147605895996,15.051259994506836,10.554094314575195,13.984500885009766,9.18608570098877,13.969060897827148
50,4287323,91,皮肉,短刀,人を傷つける,鋭い,心に刺さる,13.884474754333496,14.225985527038574,9.277192115783691,14.233043670654297,13.205127716064453,14.860777854919434,13.470661163330078,14.863020896911621,10.741496086120605,13.908256530761719,13.884474754333496,14.225985527038574,9.277192115783691,14.233043670654297,13.205127716064453,14.860777854919434,13.470661163330078,14.863020896911621,10.741496086120605,13.908256530761719
51,4287323,48,雨雲,薄墨,灰色だ,暗い,黒い,11.139787673950195,12.738237380981445,10.662604331970215,11.202387809753418,13.778584480285645,12.493208885192871,12.101019859313965,10.195016860961914,9.956319808959961,6.991798400878906,11.139787673950195,12.738237380981445,10.662604331970215,11.202387809753418,13.778584480285645,12.493208885192871,12.101019859313965,10.195016860961914,9.956319808959961,6.991798400878906
52,4287323,105,建物,角砂糖,脆い,四角い,白い,9.85352611541748,10.945619583129883,10.405062675476074,9.520282745361328,11.580495834350586,9.917777061462402,10.94989013671875,9.169010162353516,10.117626190185547,9.35728931427002,9.85352611541748,10.945619583129883,10.405062675476074,9.520282745361328,11.580495834350586,9.917777061462402,10.94989013671875,9.169010162353516,10.117626190185547,9.35728931427002
120,2613017,99,眼,湖,美しい,澄んでいる,光を反射する,8.380372047424316,12.184052467346191,16.212451934814453,12.596406936645508,12.657624244689941,16.35203742980957,12.629473686218262,13.041400909423828,15.29216480255127,14.814599990844727,8.380372047424316,12.184052467346191,16.212451934814453,12.596406936645508,12.657624244689941,16.35203742980957,12.629473686218262,13.041400909423828,15.29216480255127,14.814599990844727
121,2613017,33,沈黙,海底,静かだ,暗い,深い,7.560414791107178,11.355379104614258,9.4624662399292,13.058382987976074,10.411726951599121,8.52210521697998,11.625941276550293,9.745038986206055,12.355635643005371,11.135380744934082,7.560414791107178,11.355379104614258,9.4624662399292,13.058382987976074,10.411726951599121,8.52210521697998,11.625941276550293,9.745038986206055,12.355635643005371,11.135380744934082
123,2613017,59,霧,ベール,白い,覆う,前が見えない,8.441120147705078,9.26513957977295,8.350234985351562,12.441296577453613,9.800073623657227,9.537345886230469,13.616253852844238,8.146574974060059,13.416427612304688,12.247054100036621,8.441120147705078,9.26513957977295,8.350234985351562,12.441296577453613,9.800073623657227,9.537345886230469,13.616253852844238,8.146574974060059,13.416427612304688,12.247054100036621
129,2613017,17,希望,灯火,消える,明るい,温かい,9.633620262145996,9.86707592010498,12.770193099975586,12.994566917419434,10.892119407653809,13.020978927612305,12.696928977966309,8.502192497253418,10.370284080505371,8.57967472076416,9.633620262145996,9.86707592010498,12.770193099975586,12.994566917419434,10.892119407653809,13.020978927612305,12.696928977966309,8.502192497253418,10.370284080505371,8.57967472076416
131,2613017,20,不安,濃霧,先が見えない,晴れない,暗い,13.030531883239746,13.99844741821289,13.092670440673828,12.381199836730957,11.828742027282715,11.95724868774414,11.025376319885254,10.403363227844238,11.984330177307129,10.971068382263184,13.030531883239746,13.99844741821289,13.092670440673828,12.381199836730957,11.828742027282715,11.95724868774414,11.025376319885254,10.403363227844238,11.984330177307129,10.971068382263184
132,2613017,112,雑巾,亀,臭い,汚い,固い,11.106508255004883,15.806302070617676,11.819774627685547,12.80957317352295,15.339456558227539,11.671867370605469,11.373931884765625,14.292804718017578,12.579730033874512,9.484624862670898,11.106508255004883,15.806302070617676,11.819774627685547,12.80957317352295,15.339456558227539,11.671867370605469,11.373931884765625,14.292804718017578,12.579730033874512,9.484624862670898
133,2613017,73,運命,通り魔,予測できない,恐ろしい,突然襲いかかる,10.276350021362305,13.335415840148926,7.194753646850586,12.25294303894043,14.49716567993164,11.094756126403809,12.552776336669922,12.949676513671875,14.625935554504395,12.115023612976074,10.276350021362305,13.335415840148926,7.194753646850586,12.25294303894043,14.49716567993164,11.094756126403809,12.552776336669922,12.949676513671875,14.625935554504395,12.115023612976074
140,2613017,5,激怒,噴火,突然起こる,勢いが激しい,止まらない,8.54819393157959,9.25094223022461,13.610660552978516,15.716142654418945,10.080028533935547,13.649337768554688,16.42347526550293,12.570409774780273,14.326883316040039,13.164185523986816,8.54819393157959,9.25094223022461,13.610660552978516,15.716142654418945,10.080028533935547,13.649337768554688,16.42347526550293,12.570409774780273,14.326883316040039,13.164185523986816
142,2613017,117,唇,蛭,気持ち悪い,分厚い,湿っている,8.407915115356445,9.908676147460938,11.769303321838379,15.349575996398926,10.39785099029541,12.667217254638672,15.322002410888672,11.364463806152344,13.503872871398926,13.327953338623047,8.407915115356445,9.908676147460938,11.769303321838379,15.349575996398926,10.39785099029541,12.667217254638672,15.322002410888672,11.364463806152344,13.503872871398926,13.327953338623047
148,2613017,119,麦畑,海,波打つ,広い,風になびく,10.467719078063965,11.936514854431152,11.567910194396973,13.642694473266602,11.802145957946777,9.879189491271973,13.987834930419922,12.64931583404541,11.007731437683105,14.73548698425293,10.467719078063965,11.936514854431152,11.567910194396973,13.642694473266602,11.802145957946777,9.879189491271973,13.987834930419922,12.64931583404541,11.007731437683105,14.73548698425293
153,2613017,2,笑顔,花,美しい,明るい,華やかだ,8.323610305786133,11.446802139282227,12.694352149963379,11.020882606506348,11.990147590637207,12.487762451171875,11.516983032226562,6.673231601715088,12.084573745727539,12.620015144348145,8.323610305786133,11.446802139282227,12.694352149963379,11.020882606506348,11.990147590637207,12.487762451171875,11.516983032226562,6.673231601715088,12.084573745727539,12.620015144348145
154,2613017,72,香水,花束,良い香りがする,華やかだ,様々な香りがする,9.59978199005127,12.645742416381836,12.532257080078125,12.688864707946777,12.362168312072754,11.057554244995117,12.710467338562012,11.165526390075684,6.829819679260254,11.624006271362305,9.59978199005127,12.645742416381836,12.532257080078125,12.688864707946777,12.362168312072754,11.057554244995117,12.710467338562012,11.165526390075684,6.829819679260254,11.624006271362305
157,2613017,95,礼儀,檻,堅苦しい,縛られる,厳しい,9.204806327819824,11.649847984313965,12.749523162841797,13.042549133300781,12.571447372436523,12.111579895019531,12.423704147338867,12.585214614868164,12.466526985168457,13.689213752746582,9.204806327819824,11.649847984313965,12.749523162841797,13.042549133300781,12.571447372436523,12.111579895019531,12.423704147338867,12.585214614868164,12.466526985168457,13.689213752746582
158,2613017,19,心臓,時計,一定のリズムを刻む,正確だ,いつか止まる,7.295048713684082,14.458598136901855,11.088726043701172,12.6055908203125,14.10628890991211,11.43502426147461,12.415889739990234,14.12454605102539,12.50903606414795,11.513772010803223,7.295048713684082,14.458598136901855,11.088726043701172,12.6055908203125,14.10628890991211,11.43502426147461,12.415889739990234,14.12454605102539,12.50903606414795,11.513772010803223
159,2613017,55,理論,建物,積み重ねる,組み立てる,崩れることがある,7.950934410095215,11.312999725341797,10.753274917602539,15.825815200805664,10.957440376281738,10.507485389709473,14.595559120178223,9.355937004089355,14.9309663772583,14.522747993469238,7.950934410095215,11.312999725341797,10.753274917602539,15.825815200805664,10.957440376281738,10.507485389709473,14.595559120178223,9.355937004089355,14.9309663772583,14.522747993469238
290,4765315,110,椿,ひとだま,丸い,赤い,はかない,11.700913429260254,9.335686683654785,8.721139907836914,12.696428298950195,12.64940357208252,12.545186042785645,11.3848876953125,8.247584342956543,13.82748031616211,12.911677360534668,11.700913429260254,9.335686683654785,8.721139907836914,12.696428298950195,12.64940357208252,12.545186042785645,11.3848876953125,8.247584342956543,13.82748031616211,12.911677360534668
293,4765315,75,空,鏡,澄んでいる,きれいだ,映し出す,8.978659629821777,15.591954231262207,10.454522132873535,10.78652572631836,15.693904876708984,10.775191307067871,10.129603385925293,13.174785614013672,14.504947662353516,10.1166410446167,8.978659629821777,15.591954231262207,10.454522132873535,10.78652572631836,15.693904876708984,10.775191307067871,10.129603385925293,13.174785614013672,14.504947662353516,10.1166410446167
295,4765315,77,山,王様,大きい,動かない,威厳がある,10.742425918579102,9.306255340576172,10.923909187316895,13.67745304107666,10.886295318603516,11.420299530029297,14.121054649353027,9.503105163574219,13.63797664642334,13.65231704711914,10.742425918579102,9.306255340576172,10.923909187316895,13.67745304107666,10.886295318603516,11.420299530029297,14.121054649353027,9.503105163574219,13.63797664642334,13.65231704711914
303,4765315,52,仕事,牢獄,つらい,逃れられない,閉じ込められる,11.984196662902832,10.891414642333984,12.510650634765625,10.934367179870605,12.791525840759277,13.24753475189209,10.609902381896973,11.950225830078125,12.026975631713867,11.246291160583496,11.984196662902832,10.891414642333984,12.510650634765625,10.934367179870605,12.791525840759277,13.24753475189209,10.609902381896973,11.950225830078125,12.026975631713867,11.246291160583496
305,4765315,61,疑惑,腫瘍,ふくれあがる,大きくなる,厄介だ,7.4658942222595215,13.720011711120605,12.506659507751465,11.291245460510254,14.7311372756958,14.024006843566895,13.12674331665039,14.17449951171875,12.758268356323242,12.953181266784668,7.4658942222595215,13.720011711120605,12.506659507751465,11.291245460510254,14.7311372756958,14.024006843566895,13.12674331665039,14.17449951171875,12.758268356323242,12.953181266784668
307,4765315,96,柿,ちょうちん,丸い,赤い,ぶら下がっている,11.172684669494629,10.37707233428955,9.685373306274414,15.523961067199707,11.421555519104004,11.167987823486328,14.308370590209961,8.247584342956543,15.394987106323242,16.274812698364258,11.172684669494629,10.37707233428955,9.685373306274414,15.523961067199707,11.421555519104004,11.167987823486328,14.308370590209961,8.247584342956543,15.394987106323242,16.274812698364258
308,4765315,85,利息,年貢,払わなければならない,定期的だ,重い,11.826811790466309,14.667387962341309,14.27460765838623,13.137170791625977,14.520008087158203,14.057771682739258,12.904197692871094,14.527853965759277,13.963539123535156,12.564319610595703,11.826811790466309,14.667387962341309,14.27460765838623,13.137170791625977,14.520008087158203,14.057771682739258,12.904197692871094,14.527853965759277,13.963539123535156,12.564319610595703
312,4765315,62,微風,吐息,優しい,暖かい,弱い,9.938948631286621,12.87122917175293,12.532108306884766,12.215729713439941,13.426851272583008,13.173514366149902,12.273162841796875,9.105836868286133,8.490304946899414,10.115660667419434,9.938948631286621,12.87122917175293,12.532108306884766,12.215729713439941,13.426851272583008,13.173514366149902,12.273162841796875,9.105836868286133,8.490304946899414,10.115660667419434
316,4765315,16,楽譜,暗号,わからない,読めない,難しい,9.604408264160156,10.834212303161621,14.370965957641602,13.615200996398926,11.96462345123291,14.720369338989258,14.744115829467773,12.559625625610352,14.482352256774902,9.62491226196289,9.604408264160156,10.834212303161621,14.370965957641602,13.615200996398926,11.96462345123291,14.720369338989258,14.744115829467773,12.559625625610352,14.482352256774902,9.62491226196289
318,4765315,32,審判,天秤,公平だ,平等だ,判断される,11.960660934448242,11.309555053710938,11.45911979675293,16.185888290405273,12.792806625366211,12.626734733581543,16.29434585571289,5.942752361297607,14.217273712158203,14.822874069213867,11.960660934448242,11.309555053710938,11.45911979675293,16.185888290405273,12.792806625366211,12.626734733581543,16.29434585571289,5.942752361297607,14.217273712158203,14.822874069213867
319,4765315,58,デモ,雪崩,止められない,勢いがある,人を巻き込む,10.215340614318848,12.366806983947754,11.912739753723145,13.070025444030762,14.032759666442871,13.069395065307617,13.303305625915527,11.080731391906738,13.256282806396484,12.02978229522705,10.215340614318848,12.366806983947754,11.912739753723145,13.070025444030762,14.032759666442871,13.069395065307617,13.303305625915527,11.080731391906738,13.256282806396484,12.02978229522705
321,4765315,83,煙突,石碑,まっすぐ立っている,堅い,灰色だ,7.152304649353027,14.748258590698242,9.881077766418457,11.188569068908691,14.706121444702148,9.883304595947266,11.509795188903809,13.014461517333984,15.0750150680542,11.144011497497559,7.152304649353027,14.748258590698242,9.881077766418457,11.188569068908691,14.706121444702148,9.883304595947266,11.509795188903809,13.014461517333984,15.0750150680542,11.144011497497559
322,4765315,89,愛,季節,移り変わる,繰り返す,激しい,9.413363456726074,13.053679466247559,9.708098411560059,10.272406578063965,12.661052703857422,9.340137481689453,9.258923530578613,12.391852378845215,13.034711837768555,9.906105995178223,9.413363456726074,13.053679466247559,9.708098411560059,10.272406578063965,12.661052703857422,9.340137481689453,9.258923530578613,12.391852378845215,13.034711837768555,9.906105995178223
327,4765315,45,教育,階段,段階を踏んでいく,積み重ねる,一歩ずつだ,11.625184059143066,16.291152954101562,11.455827713012695,14.164820671081543,17.402896881103516,13.954054832458496,14.27753734588623,15.159797668457031,13.660837173461914,13.335094451904297,11.625184059143066,16.291152954101562,11.455827713012695,14.164820671081543,17.402896881103516,13.954054832458496,14.27753734588623,15.159797668457031,13.660837173461914,13.335094451904297
328,4765315,9,子供,天使,かわいい,無垢だ,いやされる,7.852943420410156,10.729511260986328,12.521700859069824,12.384054183959961,10.185352325439453,12.277288436889648,12.008963584899902,11.822412490844727,11.106035232543945,12.108556747436523,7.852943420410156,10.729511260986328,12.521700859069824,12.384054183959961,10.185352325439453,12.277288436889648,12.008963584899902,11.822412490844727,11.106035232543945,12.108556747436523
